,spam,Prediction,text
4305,0,1,"Subject: travel announcement  enron global travel management ( a division of global strategic sourcing ) is  pleased to announce that american express corporate cardholders can now view  account details online .  highlights of this service include :  review previously billed , current , and unbilled charges  review corporate direct payments and personal payments applied to your  account  dispute a charge online , if needed  access customer service 24 hours a day , 7 days a week  to log on to american express online services :  gss has prepared a special registration / log on page for corporate cardmembers  for your convenience . to access it , go to http : / / travel . enron . com and click  on the corporate card button .  cardmembers with cards issued within the last 45 days , need to call american  express customer service to enroll . the number is 1 - 800 - 297 - 1234 .  if you have already registered your personal american express card in the  american express online services program :  please click on the "" check your bill "" link and login using your existing user  id and password . you will be able to add your american express corporate  card to your existing registration by clicking on the "" update your online  profile "" link which appears on the left hand menu bar once you are logged in .  we hope you enjoy using american express online services .  for questions or additional information , contact tracy ramsey ( director ,  global travel management ) at 713 / 853 - 6457 ."
3460,0,1,"Subject: sap expense report form  with the implementation of sap , the employee expense report form has been  modified to reflect the new coding system . the procedures for its use are  unchanged , but there are some cosmetic differences . one item to note : the  form no longer requires entry of your social security number ; instead use  your new personnel number assigned through human resources ( see  http : / / hrweb . enron . com ) . for electronically submitted expense reports , enter  the same number on the receipt envelope .  the form is now available at the sap website . to access the form :  from the enron home page , go to the sap intranet site http : / / sap . enron . com  choose one of the following paths :  click on quick reference tools on the left menu  click drop - down arrow for accounts payable forms  click sap expense report form  click on forms and procedures library on the left menu  click drop - down arrow for accounts payable forms  click sap expense report form  wait for it to load  click enable macros ( or yes , allow macros )  after you enter the data , save as excel workbook ( . xls file extension ) with a  new filename . do not save as excel template ( . xlt extension ) .  you may print the spreadsheet for submission to accounts payable , or attach  it to notes for electronic submission . instructions are available at the  website , on the same drop down box as the form .  if you have any questions , contact the center of expertise ( coe ) at 713  345 - 7427 ."
5701,0,1,"Subject: rendez - vous reporter : sunday 3 rd september 2000  > sunday 3 rd september 2000  >  > the monte carlo rendez - vous reporter from reactions , in association with  > guy carpenter [ http : / / www . guycarp . com ] . simply click on the link next to  > each headline to read the full story .  >  > top stories of the day :  >  > the only way is up for rates  > http : / / www . reactionsnet . com / conferences / viewstory . asp ? id = 659  >  > vox pops : testing the renewals air  > http : / / www . reactionsnet . com / conferences / viewstory . asp ? id = 660  >  > the view of the middleman  > http : / / www . reactionsnet . com / conferences / viewstory . asp ? id = 661  >  > new look rendez - vous  > http : / / www . reactionsnet . com / conferences / viewstory . asp ? id = 657  >  > please visit http : / / www . reactionsnet . com for all the latest news from the  > world ' s largest insurance and reinsurance conference .  >  > alternatively , you can read these stories on the official rendez - vous  > website at http : / / www . rvs - monte - carlo . com  >  >  > book of the industry :  >  > reinsurance  > fourth edition of professor robert l carter ' s industry - standard textbook .  > https : / / ecommerce . waterside . net / reactions / reins _ fourth . asp  >"
2701,0,1,"Subject: contact info  i will be in one of these two places - -  my home : 011 91 80 3312635  my in - laws ' home : 011 91 80 5262719  you can also contact me by email at vshanbh @ yahoo . com , but it is better to  call since i do not have easy access to a computer , and there may be a delay  with reading email .  vasant"
5236,0,1,"Subject: summer offer  bhala ,  i double checked with hr , and the offer you received is in line with what we  are offering to other graduate level summer interns . if you have better  offers , i certainly wouldn ' t hold it against you for taking them over what we  are offering , but we can ' t really justify raising the offer at this time .  we can re - imburse you for shipping expenses up to a reasonable amount , say  $ 500 , if you need to ship things down . you can just save the receipts for  these expenses and shirley can fill out the necessary expense forms .  best regards ,  stinson"
3620,0,1,"Subject: please approve : application request ( wsmh - 4 esnva )  security resource request wsmh - 4 esnva has been submitted for your approval .  to view the request , double click your left mouse button on the notes  document link below .  quick steps to approve or reject request form :  1 . click the button to view details of the requests .  2 . click the button to approve or reject the requests .  3 . to edit the request form , double - click anywhere on the form .  see the online help for instructions or call ect security ."
5560,0,1,"Subject: us news archive @ ft . com  reliable country intelligence for a challenging world  with country reports supporting your decisions , you  ' re  working with the best source of country intelligence  available . turn to the economist intelligence unit at :  http : / / store . eiu . com  dear ft . com user  ft . com  ' s global archive can provide the answer to a multitude  of business queries :  * access information from more than 1 , 200 us business news  publications  * simultaneously search multiple sources e . g . business and  industry papers , business wire , and the pr newswire - usa .  * obtain a global view by searching across more than 6 million  articles worldwide .  with a variety of search options and powerful software , you will  be able to find the information you need in no time at all .  for the definitive answer to your business - related query , visit  and bookmark this page :  rch . jsp  regards ,  ft . com  why not forward this e - mail to a friend or colleague who may  find this information useful ?  if you no longer wish to receive further e - mails from us  please send an e - mail to ft . com . unsubscribe @ newsbyemail . ft . com  with the single word "" unsubscribe "" as the subject of the  message . your name will then be removed from our mailing  list .  if you have forgotten your password for ft . com simply visit "
2447,0,1,"Subject: reimbursement of individually billed items  the memo distributed on june 27 on reimbursement of individually billed items  requires  clarification . the intent of the memo was to give employees an alternate  method  of paying for pagers , cell phones , etc . employees can continue to submit  these  invoices to accounts payable for processing or pay these items with their  corporate  american express card and request reimbursement through an expense report .  either  way is an acceptable way to process these small dollar high volume invoices ."
2891,0,1,"Subject: reminder for dinner on saturday dec 2 nd  this is to remind all of you of the dinner plan ( with  family ) at my house on saturday dec 2 nd . we will  expect you at about 6 : 00 pm .  address : 3410 s . briarpark ln , sugar land  directions ( from downtown ) :  take 59 south all the way past sam houston beltway 8 ,  and past highway 6 . take the next exit - - - first  colony blvd / sweetwater blvd . take a left at the  traffic light onto sweetwater blvd ( over the highway ) .  go straight on sweetwater blvd past a few traffic  lights and a few stop signs . after passing a golf  course on the right , you will get a subdivision  "" crescents on the green "" on the right , and a  subdivision "" briarwood "" on the left . take a left into  the briarwood subdivision and an immediate right onto  s . briarpark ln . ( there is only one street in the  subdivision ) . our house ( 3410 ) is right there - - - 3 rd  house from cul - de - sec .  phone : 281 265 8959  cell : 713 569 2438  vasant  do you yahoo ! ?  yahoo ! shopping - thousands of stores . millions of products .  http : / / shopping . yahoo . com /"
3733,0,1,"Subject: department of energy is deploying a corporate portal at facilitie s  across the country  star information technology brings has the tools needed to help energy  companies gain knowledge . if it ' s information from oasis to market prices .  the events that change prices such as weather and more are always just one  click away with star information technologys ' powerful portal tools . our  portal products are the difference between seeing and doing . hosting dynamic  applications such as on - line reports , calendars , e - mail , and commerce  services create a one - stop shop for users to go about almost all of their  daily tasks : analyzing customer trends , checking schedules , viewing revenue -  or project - related performance metrics , and buying or selling products .  combining all the information relevant to users ' work with the ability to  act on that information enables organizations to get more done .  five government agencies deploy plumtree corporate portal at hundreds of  facilities -  the naval air systems command ( navair ) , department of energy ( doe ) ,  department of defense , national institutes of health and army public affairs  center are deploying a corporate portal at facilities across the country as  part of ongoing governmental initiatives to maximize efficiency , develop  more online content and provide private sector levels of customer service .  the plumtree corporate portal integrates regulatory , enforcement and  incident database reports , enterprise applications and internet services  into the agencies ' portals as portal gadgets ( tm ) , plug - in modules that embed  components of applications and interactive internet services in a  personalized portal page . the portal growth in the public sector is driven  by its success applying business technology to the specific challenges of  government , empowering federal agencies to simplify access to their data ,  reduce paperwork , benefit from the resources on the internet and share  information securely with their employees , contractors and constituencies .  for more information on how star information technology can help your  business turn knowledge into power contact us today at 508 - 359 - 6891 ext 115 .  christopher k . heisler  product manager  508 - 359 - 6892 ext 115  www . starit . com  cheisler @ starit . com  we make knowledge power"
