,spam,Prediction,text
3160,0,1,"Subject: customer profiling meeting  bob shults is scheduled to be in atlanta , ga on the 17 th of march and would  like to reschedule the "" customer profiling meeting "" , to tuesday , march 21 st  at t 1 : 30 p . m . , location to be announced . if you are unable to attend please  let me know .  lydia  3 - 9975"
5701,0,1,"Subject: rendez - vous reporter : sunday 3 rd september 2000  > sunday 3 rd september 2000  >  > the monte carlo rendez - vous reporter from reactions , in association with  > guy carpenter [ http : / / www . guycarp . com ] . simply click on the link next to  > each headline to read the full story .  >  > top stories of the day :  >  > the only way is up for rates  > http : / / www . reactionsnet . com / conferences / viewstory . asp ? id = 659  >  > vox pops : testing the renewals air  > http : / / www . reactionsnet . com / conferences / viewstory . asp ? id = 660  >  > the view of the middleman  > http : / / www . reactionsnet . com / conferences / viewstory . asp ? id = 661  >  > new look rendez - vous  > http : / / www . reactionsnet . com / conferences / viewstory . asp ? id = 657  >  > please visit http : / / www . reactionsnet . com for all the latest news from the  > world ' s largest insurance and reinsurance conference .  >  > alternatively , you can read these stories on the official rendez - vous  > website at http : / / www . rvs - monte - carlo . com  >  >  > book of the industry :  >  > reinsurance  > fourth edition of professor robert l carter ' s industry - standard textbook .  > https : / / ecommerce . waterside . net / reactions / reins _ fourth . asp  >"
3844,0,1,"Subject: evaluation form  mike ,  please , sign and return to me .  vince"
4641,0,1,"Subject: book order  julie ,  we received the shipment of 50 books . thanks .  the book was an instant hit . we need 50 more books .  vince  p . s . i understand paul sent you the check for the remaining 50 %"
3128,0,1,Subject: please note that my email address has been changed to : jhanley @ riskwaters . com  please update your address books .  thanks .  joel .  direct : + 44 ( 0 ) 20 7484 9885  www . riskwaters . com  - attl . htm
2249,0,1,"Subject: interview schedule for greg mikkelson  attached please find the interview packet for the above - referenced person .  the interview will happen tuesday , july 11 , 2000 . print all three documents  for your hard copies . if you have any questions , or conflicts of schedule ,  please do not hesitate to contact me .  liz alvarado  58983"
4792,0,1,"Subject: gene humphrey / mark palmer  vince :  do you have email addresses for gene and mark palmer ?  i look forward to seeing you next week .  regards ,"
4667,0,1,"Subject: re : programming for rdi model  michelle ,  i ' ve just met with cecil and christin . we have divided the code into 3 parts ,  and cecil ' s  looking at the first part . cecil , helen and i will meet again tomorrow  morning to go through  the logic of the other two parts . since cecil is devoted completely to this  project , once he  starts coding , it should not take too long .  best ,  alex"
3801,0,1,"Subject: brownsville peaker data  hey guys ,  further to our meeting , here ( courtesy of john t ) are the addresses to view  the peaker data for our upcoming testing :  a . o : \ _ dropbox \ peakerdata \ peakersl 999 . htm  b . o : \ _ dropbox \ peakerdata \ peakers 2000 . htm  at the present time , these pages display on microsoft internet explorer only .  type in the above urls in the address area of your ie . the pages refresh  automatically once every minute .  cheers , - - scott"
5217,0,1,"Subject: program  mike ,  here is third version of the program . it gives better results than the  previous versions you have . sorry for the delay , these past 2 days i have  been busy meeting with people on the new ebs project . i think the result  looks reasonably good . you can try it . ( to run , type cow filename . jpg m )  smallcow . jpg : hand count 165 , program reports 140  cow 2 . jpg : hand count 1 , program reports 1  cow 3 . jpg : hand count 273 , program reports 244  cow 4 . jpg : hand count 7 , program reports 7  cow 5 . jpg : hand count 160 - 180 , program reports 165  - chonawee  you can show it to the others by yourself or i can go with you . i will have  to go to german consulate tomorrow morning and will be in the office around  10 : 30 - 11 am .  - chonawee"
5413,0,1,"Subject: thanks  paige ,  thanks a lot for your presentation . it was an eye - opener in many cases .  i shall schedule a meeting with you next week to discuss how we can help you  in this project . i have some ideas i would like to run by you .  vince  p . s . shirley , please see if monday is ok for 30 mins ?"
5447,0,1,"Subject: chicago partners  davis ,  i sent out the memo . no reaction yet .  vince"
4180,0,1,"Subject: subscribe  this message has been automatically generated in response to your  mckinseyquarterly . com registration .  you requested notification about new articles in the categories  listed below . to confirm your enrollment , please reply to this  message and remove any / all characters that may preceed the  word subscribe .  subscribe economic - performance  subscribe retail  subscribe environment  subscribe countries  subscribe strategy  subscribe interviews  subscribe financial - institutions  subscribe energy  subscribe telecommunications  subscribe corporate - finance  subscribe electronic - commerce"
2968,0,1,"Subject: spvs  hi , vince ,  merry christmas and happy new year !  please see attached brief descriptions of spvs , to my knowledge , there are a  couple more and i will keep you posted .  best regards ,  li"
2855,0,1,"Subject: time sheets ! ! !  hello everyone !  not very many of you have filled out your timesheet in the excel spreadsheet  if you cannot access the "" o "" drive . you will need to fill out one by hand  until  you can get access .  whichever way - i need them today ! !  thanks !  shirley"
5262,0,1,"Subject: karthik rajan - interview schedule  attached you will find the interview packet for the above - referenced person .  the interview will happen friday , march 30 , 2001 . please print all three  documents for your hard copies . if you have any questions , or conflicts of  schedule , please do not hesitate to contact me .  sasha divelbiss  58714"
2609,0,1,"Subject: mgmt 656  here is your latest roster . we are up - to - date on all changes but , of  course , the students may still drop / add up to the second week of module 5 .  when the time comes , please check your roster carefully and make sure that  the people on the list really are attending your course . mistakes happen so  i just would like to make sure we have a correct record .  as always , let me know if you would like the excel folder with e - mail  addresses . i don ' t send them at the same time to avoid overwhelming our  e - mail system . thanks for your help !  - pam ( 713 - 348 - 6223 )  - 656 . doc"
4823,0,1,"Subject: wallet size telephone cards for the research group  hi dee :  per our conversation , i am attaching the listing of the research group .  we would like 50 sets of the wallet size telephone cards made up .  our co . # is 0011 and our rc # is 100038 .  if you have any questions , please call me at 3 - 5290 .  thanks and have a great day !  shirley"
3620,0,1,"Subject: please approve : application request ( wsmh - 4 esnva )  security resource request wsmh - 4 esnva has been submitted for your approval .  to view the request , double click your left mouse button on the notes  document link below .  quick steps to approve or reject request form :  1 . click the button to view details of the requests .  2 . click the button to approve or reject the requests .  3 . to edit the request form , double - click anywhere on the form .  see the online help for instructions or call ect security ."
5405,0,1,Subject: proposal  - kevin kindall
